"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","complexity","sqrt.rug","sqrtLC","sqrtHC","sqrtMacro","SCORE1","SCORE2","ZONE"
"Herbivore.abundance.complexity","complexity",517.9116258368,532.440774224447,0.59876,NA,6.22,1,0,0,0.527,0.774,1,0,0,0,0,0,0,0
"Herbivore.abundance.complexity+SCORE2","complexity+SCORE2",519.872079158477,536.421926010571,0.60314,NA,7.37,1,1.96,3.981,0.198,0.106,1,0,0,0,0,0,1,0
"Invertivore.abundance.complexity","complexity",609.447134986766,630.515974620396,0.5284,NA,8.58,0,0,0,0.306,0.375,1,0,0,0,0,0,0,0
"Invertivore.abundance.complexity+ZONE","complexity+ZONE",609.508949743766,630.835362974297,0.52926,NA,9.04,0,0.062,0.319,0.296,0.32,1,0,0,0,0,0,0,1
"Invertivore.abundance.complexity+SCORE2","complexity+SCORE2",609.552566752907,631.580758653513,0.5338,NA,9.35,0,0.105,1.065,0.29,0.22,1,0,0,0,0,0,1,0
"Piscivore.abundance.complexity+ZONE","complexity+ZONE",459.008288573755,475.330713961392,0.31583,NA,6.01,0,0,0,0.236,0.315,1,0,0,0,0,0,0,1
"Piscivore.abundance.complexity","complexity",459.09214407831,475.359874036779,0.32032,NA,5.64,0,0.084,0.029,0.226,0.311,1,0,0,0,0,0,0,0
"Piscivore.abundance.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",459.980855659049,478.400721935919,0.29949,NA,7.86,0,0.973,3.07,0.145,0.068,0,0,0,0,0,1,0,1
"Piscivore.abundance.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",460.172907264555,477.044733457736,0.29912,NA,7,0,1.165,1.714,0.132,0.134,1,0,0,0,0,0,0,1
"Planktivore.abundance","SCORE1",687.556680213039,702.785655416664,0.33218,NA,6.72,1,0,0,0.432,0.652,0,0,0,0,0,1,0,0
"Herbivore.biomass","complexity",1194.11540939284,1208.69932945989,0.37262,NA,6.2,1,0,0,0.639,0.809,1,0,0,0,0,0,0,0
"Invertivore.biomass.complexity","complexity",1236.48620062318,1251.37608450866,0.40457,NA,6.42,1,0,0,0.473,0.705,1,0,0,0,0,0,0,0
"Invertivore.biomass.complexity+SCORE2","complexity+SCORE2",1238.43606134448,1254.86051006979,0.41124,NA,7.41,1,1.95,3.484,0.179,0.124,1,0,0,0,0,0,1,0
"Piscivore.biomass.SCORE1","SCORE1",1025.69138958337,1037.58841616341,0.28549,NA,5.05,1,0,0,0.283,0.42,0,0,0,0,0,1,0,0
"Piscivore.biomass.complexity","complexity",1026.17039928546,1037.88758844933,0.30428,NA,5,1,0.479,0.299,0.222,0.362,1,0,0,0,0,0,0,0
"Planktivore.biomass.complexity+ZONE","complexity+ZONE",1012.26869798913,1033.93032776854,0.32784,NA,9.65,0,0,0,0.474,0.491,1,0,0,0,0,0,0,1
"Planktivore.biomass.complexity","complexity",1012.75087845216,1034.26856112296,0.32314,NA,9.31,0,0.482,0.338,0.372,0.415,1,0,0,0,0,0,0,0
